,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tsr3,1934.1970568886916,-0.021255843695197302,0.10405886348755863,-0.20426749805641176,0.8381444672653495,0.9998350115734302
Rpl5,11076.724224959848,-0.16738551201056198,0.108309950185277,-1.5454306065530383,0.12224214188705158,0.9998350115734302
Tmem163,3786.4995060928873,0.06816314952332617,0.09858929492980573,0.6913848970302245,0.48932369267032794,0.9998350115734302
Magi1,12464.44879559793,-0.05806478086319428,0.07157256075408176,-0.8112715299191369,0.41720975584798325,0.9998350115734302
Fgf18,100.14283272459862,0.19944427612532242,0.3248621381819999,0.6139351210376702,0.5392582007077356,0.9998350115734302
Arhgef38,16.16843802593518,0.4491752956739482,0.7623806544919879,0.5891745718197112,0.5557441730593766,0.9998350115734302
Mpp1,3885.475046645104,-0.0022156278144599344,0.09017821859005123,-0.02456943427250591,0.9803983998536631,0.9998350115734302
Cpn1,30.32399137709115,-0.22678047494529277,0.590697988435084,-0.38391949758639693,0.7010381147469296,0.9998350115734302
Ap5m1,3212.5793432977002,-0.005984894241246622,0.08050537830010115,-0.07434154546714429,0.9407386199691903,0.9998350115734302
Dynlt1c,403.86988563855783,0.09042655201933383,0.15907914311295587,0.5684375100959996,0.569737926352272,0.9998350115734302
Slc14a1,1355.562103015852,0.09454538283450038,0.11915414490593623,0.7934712041208241,0.4275033399641843,0.9998350115734302
Ranbp17,633.6448313037728,-0.040533952765787105,0.14239222045926359,-0.28466409636039985,0.7759014999804486,0.9998350115734302
Dynlt1f,674.1908984647524,0.12784612260465414,0.18299855348614683,0.6986182140195563,0.4847906578584672,0.9998350115734302
Dagla,15906.370567747384,0.07012069124980405,0.07034731919258114,0.9967784423716748,0.3188720644024655,0.9998350115734302
Hsd3b9,10.333992452560006,1.4428432579154915,1.5696849399574653,0.9191929037393893,0.3579946822018627,0.9998350115734302
Sytl3,23.924394982792162,0.020326930442878626,0.6455843790891396,0.03148609399681892,0.9748818820305027,0.9998350115734302
Sugp1,5588.842921713385,-0.05289155188658363,0.08944129679846154,-0.5913549308857227,0.5542826313376459,0.9998350115734302
Med18,367.24485042274523,-0.025472132591209833,0.18713800088866203,-0.13611416425445577,0.8917310302855674,0.9998350115734302
Mlxip,2964.180314712327,0.0034146144974975126,0.11379429786027362,0.030006903348446058,0.9760615475752781,0.9998350115734302
Mpi,5231.51513965904,-0.04187468373336278,0.0671818743252467,-0.6233032965206574,0.5330852319298671,0.9998350115734302
