,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mog,14185.430835740133,0.42985460834389827,0.07307526440461547,5.882354471737614,4.044709303286021e-09,6.146091352085543e-06
Adamts4,3795.2496286525106,0.4171288957488529,0.09618969008426201,4.336523959932179,1.4475365462036316e-05,0.007728280252353118
Myl4,2973.875845810326,0.7550216283579475,0.12914218652945103,5.846436773670113,5.022143289157021e-09,7.086244181000557e-06
Lingo3,7442.70569291211,-0.41576896300365473,0.09518170724364762,-4.368160385475782,1.2529746787295666e-05,0.0072733605797664115
Mag,31413.53360206877,0.45311861558625466,0.07143640503178109,6.342964982415736,2.2538467552403362e-10,4.047498982092509e-07
Ly6g6e,387.2876317733671,-0.960960670465401,0.2452670638171342,-3.9180175907429318,8.928019236569942e-05,0.038340019999826655
Theg,78.91428828622938,-1.6434770173772155,0.3722880088001394,-4.414531165465247,1.012291326413655e-05,0.006059637230901619
Mobp,108874.72029293755,0.5659115955273682,0.10559463606580834,5.359283545185787,8.355263318047964e-08,8.686835346564183e-05
Fibcd1,3001.560716951215,0.638823633476413,0.11174568264376712,5.716763443227709,1.085720935560672e-08,1.3404582100665947e-05
Creb3l3,152.5645419461211,-2.05673260626881,0.32008584003691326,-6.425565735840178,1.3137997422860076e-10,2.5952800109117796e-07
Drc1,2470.554865203175,-0.7581907872621108,0.13214769715033872,-5.737449865657136,9.611271707998299e-09,1.265740408798656e-05
Mal,52380.53196411979,0.4297576980642524,0.09320452049349327,4.61091045572467,4.009092133141583e-06,0.0026398535332692943
Sstr2,2430.9834828119497,0.4098122762999075,0.09660353469604513,4.242207881826967,2.2133153090970632e-05,0.011505744898921944
Mlxipl,381.1042318574958,-1.0163240718649253,0.18457226616299954,-5.506374782045471,3.6629828948380826e-08,4.019920228035082e-05
Amz1,2885.302151532629,-0.865279105201585,0.07763262604051477,-11.14581780023794,7.505162025031053e-29,4.941899021415448e-25
Gjc2,3122.504876159936,0.4381513466226112,0.09280453271114218,4.72122787349595,2.344251197526658e-06,0.0017151236354052447
Gtf2i,25585.239055516126,0.6986613768574634,0.05988240655036438,11.667222763832163,1.8744281260138396e-31,1.8513726600638693e-27
Tfr2,767.6816069364698,-0.8746397814101209,0.122389068213918,-7.14638810617775,8.909094598777274e-13,2.9331709117374377e-09
Cabp7,3524.2893601751857,0.4858934587961998,0.11154960263493331,4.3558510951076705,1.3255086608868626e-05,0.0072733605797664115
Gsn,18128.600008085676,0.39508510371622835,0.08421206006328354,4.691550158247292,2.71142777896887e-06,0.0019129122980625377
Gm6563,66.9948210830059,-6.700321147446019,1.5890548758963992,-4.21654484629822,2.480739708678214e-05,0.012565264668007548
Actg-ps1,73.7646537454943,2.9730791122539846,0.6167985481445641,4.820178518898134,1.4342981522814075e-06,0.0011805469041736218
Tdg-ps2,172.4781151158702,-6.2260950864584865,1.5961680106392548,-3.9006514633537708,9.593418306598625e-05,0.0403209330273509
Gm8494,23.125879531083754,-4.403433105120083,1.1446464380177865,-3.8469810055458007,0.00011958223627152319,0.04899013464773289
Ppp1ccb,1317.195402083293,-1.0518919666935023,0.16142094741636656,-6.516452688016192,7.198950159974895e-11,1.5800895717793785e-07
