,C1,C2,C3,KO1,KO2,KO3
Senp6,9007,3922,9368,12486,8480,9895
Mtmr12,5101,2165,5850,7553,5112,6030
Tmem255b,220,102,270,275,157,173
Prune1,4591,1938,4878,6008,4640,4688
Gsc2,8,1,13,6,17,4
Mettl14,2447,1210,3065,3693,2438,2698
Tap2,1051,500,1312,1537,1112,1038
Gm8978,0,1,0,0,2,0
Slc25a1,4406,2273,5079,5950,4370,4581
P2rx7,1051,448,1219,1499,954,1251
Nkg7,1,3,10,3,1,0
Lipo2,9,6,7,19,12,13
Cenpu,164,34,182,225,224,229
Sh3gl3,6054,2882,6549,8414,5649,5643
Lipo1,4,0,2,19,0,0
Vpreb1b,0,4,0,0,0,0
Dgcr6,5796,3132,7361,8769,6462,5979
Kdm3a,3835,1738,4843,5502,4120,4515
E4f1,1676,1048,2179,2583,2012,2162
Obscn,839,242,1038,951,775,858
1810049J17Rik,478,295,519,719,618,641
Tg,49,10,18,29,34,31
Acadm,3768,1886,4960,5814,3937,3766
Smarca1,4296,1992,4242,6254,4100,5312
Lipf,0,0,0,0,0,0
Alpk2,72,36,75,90,68,82
Prodh,3459,1554,4550,5743,3684,3573
Cldnd2,1,0,0,0,0,6
Pdcd6,6684,3434,8011,10372,7419,6683
Or56a5,1,0,0,6,4,1
Or56a4,0,0,0,0,0,0
Lipk,0,4,0,5,4,0
Adamtsl3,410,232,523,861,362,444
Ik,13653,5689,14766,18184,12918,13223
Gas6,13398,5999,14750,18094,12692,13451
Prl8a8,0,0,0,0,0,0
Prss12,3001,1229,4022,4487,3510,3375
Fbxo33,6409,3097,7754,9122,6473,6800
Foxred1,3381,1555,4228,4692,3694,3872
Pkd1l3,168,48,129,192,85,162
Or52l1,0,0,0,2,0,0
Slc44a5,1444,703,1398,1867,1142,1577
Lipn,1,4,4,0,0,0
Etfb,3271,1494,4035,4639,3382,2768
Lrfn5,10149,4435,11898,14329,9406,11510
Lipm,24,0,12,7,5,1
Gas2l3,296,143,334,401,290,353
Mcm2,721,292,870,1199,751,836
